"tested?","name","cooking time","difficulty","description"
"not tested","Tarte","30 min","Facile","à la grimace"
"tested","Parmentier de confit de canard","20 min 25 min","Très facile","Ingrédients : muscade, poivre, échalote, cuisse de canard, crême fraîche, lait, pomme de terre, oignon, sel. Lavez et épluchez les pommes de terre, et mettez-les à cuire dans un grand volume d'eau salée. Réchauffez les cuisses de canard..."
"not tested","Cari de concombre","15 min 15 min","facile","Ingrédients : poivre, concombre, thym, curcuma, huile, oignon, ail, lardons. Eplucher, égrainer et couper en tronçons de 2 cm de long le concombre. Chauffer l'huile dans une marmite et faire roussir le concombre. Ajouter dans cet ordre les lardons,..."
"not tested","Canard à la bière","15 min 1 h 30 min","facile","Ingrédients : gingembre, thym, bière, tomate, oignon, ail, canard. Emincez les légumes. Dans une marmite, faire revenir les morceaux de canard à feue qu'ils soient bien dorés de chaque côté. Jetez les 4/5 d'huile et remettre au feu,..."
"not tested","""The"" charlotte aux fraises","1 h","Difficile","Ingrédients : glaçon, biscuits à la cuillère, citron, sucre en poudre, Alcools, sucre vanillé, crème liquide, gélatine, fraise. Préparer un sirop en portant à ébullition 15 cl d'eau et 80 g de sucre. Oter du feu et laisser refroidir, ensuite y..."
"not tested","vrv","vrv","rv","cr"
"not tested","Tarte","30 min","Très difficile","lkdbepricfby(ighktg g"
"not tested","","","",""
"not tested","","","",""
"not tested","dddd","","",""
"not tested","","","",""
